,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price
458,CK Mondavi Merlot,United States,CK Mondavi,"Merlot, Red Wine","Anise, Balanced, Berry, Blueberry, Bold, Bright, Caramel, Cassis, Cherry, Chocolate, Cinnamon, Coffee, Currant, Dark Fruit, Dry, Fresh, Fruity, Jammy, Mocha, Oak, Red Fruit, Rich, Roasted, Round, Smooth, Toasty, Vanilla, Velvety, Woody",13.5%,"Beef, Cheese - Creamy  Bloomy, Chicken, Duck  Game Bird, Fish - Meaty  Oily, Lamb, Mushrooms, Pasta, Pork, Root Vegetables, Tomatoes, Turkey",Bordeaux Glass,6,Dry Wine,Medium,5.0,4,699.0
459,Cycles Gladiator Pinot Noir,United States,Cycles Gladiator,"Pinot Noir, Red Wine","Cherry, Red Fruit, Tobacco, Syrupy",13.5%,"Turkey, Mushrooms",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,1199.0
460,Piattelli Malbec Premium Reserve,Argentina,Piattelli,"Malbec, Red Wine",,14.5%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,3,1600.0
461,Doña Paula Estate Malbec,Argentina,Dona Paula,"Malbec, Red Wine","Balanced, Bold, Dark Fruit, Fresh, Fruity, Minerality, Silky, Spicy",13.5%,"Beef, Mushrooms, Pork, Root Vegetables, Tomatoes",Standard Red Glass,6,Dry Wine,Full,5.0,2,1399.0
462,Red Diamond Merlot,United States,Red Diamond,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,4,899.0
463,Glen Ellen Pinot Grigio,United States,Glen Ellen,"Pinot Grigio, White Wine",,13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,3,899.0
464,Glen Ellen Chardonnay,United States,Glen Ellen,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,548.0
465,Foxhorn Cabernet,United States,Foxhorn Vineyards,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,899.0
466,Oyster Bay Marlborough Sauvignon Blanc,New Zealand,Oyster Bay,"Sauvignon Blanc, White Wine","Acidic, Bright, Citrus, Fresh, Tropical, Tropical Fruit",13%,"Fish - White, Fruit - Citrus, Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,4.9,544,1299.0
467,Oyster Bay Marlborough Pinot Noir,New Zealand,Oyster Bay,"Pinot Noir, Red Wine","Cherry, Berry, Dark Fruit, Smooth",13.5%,"Duck  Game Bird, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.7,17,1599.0
468,Oyster Bay Hawke’s Bay Pinot Gris,New Zealand,Oyster Bay,"Pinot Grigio, White Wine","Bright, Citrus, Crisp, Floral, Nectarine, Pear, Stone Fruit",12.5%,"Fish - White, Pork, Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,9,1300.0
469,Oyster Bay Marlborough Chardonnay,New Zealand,Oyster Bay,"Chardonnay, White Wine","Peach, Citrus, Creamy, Bright",12.5%,"Cheese - Fresh  Soft, Fish - White, Pasta, Turkey",Chardonnay Glass,4,Dry Wine,Full,4.3,8,1299.0
470,Oyster Bay Hawke’s Bay Merlot,New Zealand,Oyster Bay,"Merlot, Red Wine","Currant, Red Fruit, Spicy, Vanilla",13%,"Cheese - Blue, Cheese - Hard Aged, Cured Meats, Dessert - Chocolate  Coffee, Fish - Meaty  Oily, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,1364.0
471,Mirassou Pinot Noir,United States,Mirassou,"Pinot Noir, Red Wine",,13.5%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,28,999.0
472,Mirassou Chardonnay,United States,Mirassou,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,999.0
473,Liberty School Cabernet Sauvignon,United States,Liberty School,"Cabernet Sauvignon, Red Wine","Cherry, Red Fruit, Pepper, Vanilla",13.5%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,5.0,8,1499.0
474,Franciscan Cabernet Sauvignon,United States,Franciscan,"Cabernet Sauvignon, Red Wine","Berry, Cassis, Cherry, Mocha",14%,"Beef, Cheese - Hard Aged",Bordeaux Glass,6,Dry Wine,Full,5.0,14,2299.0
475,Franciscan Chardonnay,United States,Franciscan,"Chardonnay, White Wine",,14%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1599.0
476,Franciscan Sauvignon Blanc,United States,Franciscan,"Sauvignon Blanc, White Wine",,14%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,2.5,2,1499.0
477,Avia Pinot Grigio,Slovenia,Avia,"Pinot Grigio, White Wine",,12.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,699.0
478,Meiomi Pinot Noir,United States,Meiomi Wines,"Pinot Noir, Red Wine","Dark Fruit, Mocha, Oak",13.7%,"Lamb, Pasta",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.8,478,2698.0
479,Meiomi Chardonnay,United States,Meiomi Wines,"Chardonnay, White Wine","Citrus, Apple, Butter, Stone Fruit",13.8%,"Shellfish, Chicken",Chardonnay Glass,4,Dry Wine,Full,5.0,26,1799.0
480,Mark West Pinot Noir,United States,Mark West,"Pinot Noir, Red Wine",,13.5%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.7,132,1099.0
481,Peter Yealands Sauvignon Blanc,New Zealand,Yealands,"Sauvignon Blanc, White Wine",,6.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,1499.0
482,Nobilo Sauvignon Blanc,New Zealand,Nobilo,"Sauvignon Blanc, White Wine","Tropical Fruit, Guava, Crisp, Balanced",12.5%,"Fish - White, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.7,94,1199.0
483,Muga Rioja Reserva Unfiltered,Spain,Bodegas Muga,"Red Wine, Rioja Blend",,13.5%,"Tomatoes, Cured Meats",Standard Red Glass,5,Dry Wine,Medium,5.0,6,2999.0
484,DAOU Vineyards Cabernet Sauvignon,United States,Daou Vineyards,"Cabernet Sauvignon, Red Wine","Cherry, Currant, Eucalyptus",14.2%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.7,22,2599.0
485,Dom Pérignon Vintage Champagne,France,Dom Perignon Champagne,"Champagne, Sparkling Wine","Biscuit, Floral, Fresh, Fruity, Grapefruit, Grassy, Minerality, Nectarine, Peach, Toasty",12.5%,"Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Duck  Game Bird, Fish - White, Mushrooms, Shellfish",Flute,1,Dry Wine,Light,4.9,54,19999.0
486,A to Z Pinot Noir,United States,A to Z,"Pinot Noir, Red Wine","Berry, Blueberry, Cherry, Chocolate, Earthy, Malty, Red Fruit",13.5%,"Beef, Chicken, Duck  Game Bird, Fish - Meaty  Oily, Lamb, Mushrooms, Pork, Turkey",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,56,1999.0
487,A to Z Pinot Gris,United States,A to Z,"Pinot Grigio, White Wine","Apple, Apricot, Honey, Melon, Peach, Pear",13.5%,"Chicken, Fish - White, Pasta, Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,9,1549.0
488,A to Z Chardonnay,United States,A to Z,"Chardonnay, White Wine","Apple, Apricot, Melon, Peach, Pear",13%,"Chicken, Fish - White, Pasta, Root Vegetables, Salads  Greens, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1599.0
489,Adelsheim Willamette Valley Pinot Noir,United States,Adelsheim,"Pinot Noir, Red Wine","Dark Fruit, Fruity, Minerality, Smooth",13.5%,"Duck  Game Bird, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,2999.0
490,Renato Ratti Langhe Nebbiolo,Italy,Renato Ratti,"Nebbiolo, Red Wine",,14%,"Beef, Mushrooms",Burgundy  Bourgogne Glass,6,Dry Wine,Medium,5.0,3,2499.0
491,Renato Ratti Barolo Marcenasco,Italy,Renato Ratti,"Nebbiolo, Red Wine",,14%,"Beef, Mushrooms",Burgundy  Bourgogne Glass,6,Dry Wine,Medium,2.5,2,5788.0
492,Leese-Fitch Cabernet Sauvignon,United States,Leese-Fitch,"Cabernet Sauvignon, Red Wine","Currant, Red Fruit, Tart, Mocha",13.5%,"Beef, Cheese - Hard Aged",Bordeaux Glass,6,Dry Wine,Full,5.0,9,1099.0
493,Leese Fitch Chardonnay,United States,Leese-Fitch,"Chardonnay, White Wine",,13.8%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1099.0
494,Chateau Souverain Cabernet Sauvignon,United States,Chateau Souverain,"Cabernet Sauvignon, Red Wine",,13.9%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.6,13,1099.0
495,Chateau Souverain Sauvignon Blanc,United States,Chateau Souverain,"Sauvignon Blanc, White Wine",,13.7%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,4.0,11,1099.0
496,Chateau Souverain Chardonnay,United States,Chateau Souverain,"Chardonnay, White Wine",,13.86%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1099.0
497,Carta Vieja Sauvignon Blanc,Chile,Carta Vieja,"Sauvignon Blanc, White Wine","Fresh, Acidic, Grassy",12.9%,"Shellfish, Cheese - Creamy  Bloomy",Standard White Glass,3,Dry Wine,Light,5.0,3,699.0
498,Veramonte Organic Reserva Sauvignon Blanc,Chile,Veramonte,"Sauvignon Blanc, White Wine","Citrus, Floral, Smooth, Fresh",13.5%,"Tomatoes, Fish - White",Standard White Glass,3,Dry Wine,Light,5.0,3,1176.0
499,Finca de los Padrillos Malbec,Argentina,Ernesto Catena,"Malbec, Red Wine","Cherry, Floral, Fresh, Fruity, Red Fruit",13.9%,"Lamb, Mushrooms, Pork",Standard Red Glass,6,Dry Wine,Full,5.0,2,1299.0
500,Louis M. Martini Sonoma County Cabernet Sauvignon,United States,Louis M. Martini,"Cabernet Sauvignon, Red Wine","Berry, Dark Fruit, Anise, Mocha",13.8%,"Tomatoes, Cheese - Fresh  Soft",Bordeaux Glass,6,Dry Wine,Full,5.0,27,1889.0
501,Louis M. Martini Napa Valley Cabernet Sauvignon,United States,Louis M. Martini,"Cabernet Sauvignon, Red Wine",,14.4%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.3,16,3799.0
502,Louis M. Martini Alexander Valley Cabernet Sauvignon,United States,Louis M. Martini,"Cabernet Sauvignon, Red Wine",,14.6%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,3464.0
503,Louis M. Martini California Cabernet Sauvignon,United States,Louis M. Martini,"Cabernet Sauvignon, Red Wine",,13.8%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,1649.0
504,Chateau Montelena Chardonnay,United States,Chateau Montelena,"Chardonnay, White Wine",,13.8%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,5499.0
505,Gabbiano Chianti,Italy,Gabbiano,"Chianti Blend, Red Wine","Red Fruit, Cherry, Berry, Intense",12.5%,"Lamb, Tomatoes",Standard Red Glass,6,Dry Wine,Medium,5.0,9,955.0
506,Castello di Gabbiano Chianti,Italy,Gabbiano,"Chianti Blend, Red Wine",,12.5%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,2.5,2,1599.0
507,Revolution El Libre Malbec,Argentina,Revolution Wine Company,"Malbec, Red Wine","Cherry, Red Fruit, Herbal, Balanced",13.4%,"Beef, Lamb",Standard Red Glass,6,Dry Wine,Full,5.0,9,999.0
508,Argentine Revolution Malbec,Argentina,Revolution Wine Company,"Malbec, Red Wine","Blueberry, Chocolate, Intense, Smooth",13.5%,"Duck  Game Bird, Lamb",Standard Red Glass,6,Dry Wine,Full,5.0,6,1249.0
509,Natura Organic Malbec,Chile,Natura,"Malbec, Red Wine",,13.6%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,2,1099.0
510,The Seeker Sauvignon Blanc,New Zealand,The Seeker,"Sauvignon Blanc, White Wine",,13%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,5,1299.0
511,Le Grand Noir Pinot Noir,France,Le Grand Noir,"Pinot Noir, Red Wine","Balanced, Berry, Bright, Cherry, Oak, Red Fruit, Silky",13%,"Beef, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,6,1199.0
512,Fat Bastard Pinot Noir,France,Fat Bastard,"Pinot Noir, Red Wine",,14.2%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,5,1199.0
513,Fat Bastard Chardonnay,France,Fat Bastard,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1199.0
514,Fat Bastard Merlot,France,Fat Bastard,"Merlot, Red Wine",,14.2%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,1199.0
515,Noble Vines 337 Cabernet Sauvignon,United States,Noble Vines,"Cabernet Sauvignon, Red Wine","Berry, Cherry, Oak, Pepper",14.5%,"Pork, Mushrooms",Bordeaux Glass,6,Dry Wine,Full,5.0,28,1299.0
516,Noble Vines 667 Pinot Noir,United States,Noble Vines,"Pinot Noir, Red Wine",,14.5%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,7,1299.0
517,Noble Vines 446 Chardonnay,United States,Noble Vines,"Chardonnay, White Wine",,14.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,1099.0
518,Broadside Paso Robles Cabernet Sauvignon,United States,Broadside,"Cabernet Sauvignon, Red Wine","Cassis, Tobacco, Vanilla, Dark Fruit",13.9%,"Cheese - Hard Aged, Beef",Bordeaux Glass,6,Dry Wine,Full,5.0,29,1499.0
519,Edna Valley Sauvignon Blanc,United States,Edna Valley,"Sauvignon Blanc, White Wine",,13.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,8,1299.0
520,Edna Valley Cabernet Sauvignon,United States,Edna Valley,"Cabernet Sauvignon, Red Wine",,13.9%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,6,1499.0
521,Chloe Pinot Grigio,Italy,Chloe,"Pinot Grigio, White Wine","Apple, Citrus, Crisp, Floral, Melon, Peach",12.7%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,20,1427.0
522,Chloe Chardonnay,United States,Chloe,"Chardonnay, White Wine","Apple, Butter, Citrus, Oak, Pear, Toasty, Vanilla",14%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,3.7,4,1399.0
523,Chloe Pinot Noir,United States,Chloe,"Pinot Noir, Red Wine","Berry, Cherry, Smooth, Spicy, Vanilla, Velvety",13.5%,"Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Duck  Game Bird, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,1399.0
524,Freemark Abbey Napa Valley Cabernet Sauvignon,United States,Freemark Abbey,"Cabernet Sauvignon, Red Wine","Cherry, Chocolate, Dark Fruit, Herbal, Oak, Supple",14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,4798.0
525,Hahn Cabernet Sauvignon,United States,Hahn,"Cabernet Sauvignon, Red Wine","Berry, Cherry, Vanilla",14.5%,"Beef, Cheese - Nutty  Semi-Firm, Dessert - Chocolate  Coffee, Duck  Game Bird, Lamb, Mushrooms",Bordeaux Glass,6,Dry Wine,Full,5.0,7,1399.0
526,Hahn Chardonnay,United States,Hahn,"Chardonnay, White Wine","Citrus, Tropical Fruit, Vanilla",14.5%,"Cheese - Fresh  Soft, Fish - Meaty  Oily, Fish - White, Root Vegetables, Salads  Greens, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,4,1299.0
527,Voga Pinot Grigio,Italy,Voga,"Pinot Grigio, White Wine","Apple, Pear, Rich, Crisp",12%,"Turkey, Chicken",Standard White Glass,3,Dry Wine,Light,5.0,9,1099.0
528,Irony Chardonnay,United States,Irony,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,2.5,2,1319.0
529,Sycamore Lane Merlot,United States,Sycamore Lane,"Merlot, Red Wine",,13%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,699.0
530,Newton Unfiltered Chardonnnay,United States,Newton,"Chardonnay, White Wine",,14.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,4999.0
531,Erath Pinot Noir,United States,Erath,"Pinot Noir, Red Wine","Fresh, Red Fruit, Cherry, Tart",13%,"Chicken, Turkey",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,85,1897.0
532,Prophecy Marlborough Sauvignon Blanc,New Zealand,Prophecy,"Sauvignon Blanc, White Wine",,12%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,51,1199.0
533,Prophecy Cabernet Sauvignon,United States,Prophecy,"Cabernet Sauvignon, Red Wine",,13.8%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,10,1199.0
534,Dreaming Tree Cabernet Sauvignon,United States,The Dreaming Tree,"Cabernet Sauvignon, Red Wine","Berry, Cherry, Cassis, Caramel",13.5%,"Beef, Pork",Bordeaux Glass,6,Dry Wine,Full,4.8,42,1489.0
535,Dreaming Tree Sauvignon Blanc,United States,The Dreaming Tree,"Sauvignon Blanc, White Wine",,13.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,8,1399.0
536,SeaGlass Sauvignon Blanc,United States,SeaGlass,"Sauvignon Blanc, White Wine","Citrus, Grapefruit, Grassy, Crisp",13.5%,"Shellfish, Pasta",Standard White Glass,3,Dry Wine,Light,5.0,15,1099.0
537,SeaGlass Pinot Grigio,United States,SeaGlass,"Pinot Grigio, White Wine",,13.38%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.1,6,1099.0
538,SeaGlass Riesling,United States,SeaGlass,"Riesling, White Wine",,13.5%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,3,1099.0
539,Sean Minor 4B Chardonnay,United States,Sean Minor,"Chardonnay, White Wine","Apple, Butter, Citrus, Creamy, Fruity",13.5%,"Cheese - Fresh  Soft, Chicken, Fish - Meaty  Oily, Fish - White, Salads  Greens, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1312.0
540,Santa Margherita Pinot Grigio DOC,Italy,Santa Margherita,"Pinot Grigio, White Wine","Apple, Bright, Citrus, Fresh, Fruity, Light",12.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.8,338,2599.0
541,Santa Margherita Chianti Classico Riserva DOCG,Italy,Santa Margherita,"Chianti Blend, Red Wine","Cherry, Earthy",13.5%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,5.0,9,2499.0
542,Pascal Jolivet Attitude Sauvignon Blanc,France,Domaine Pascal Jolivet,"Sauvignon Blanc, White Wine","Apple, Citrus, Dry, Grapefruit, Green Apple, Herbal, Minerality",12%,"Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Chicken, Fish - Meaty  Oily, Fish - White, Salads  Greens, Shellfish, Tomatoes",Standard White Glass,3,Dry Wine,Light,5.0,2,1999.0
543,Ancient Peaks Cabernet Sauvignon,United States,Ancient Peaks,"Cabernet Sauvignon, Red Wine","Blueberry, Cassis, Cherry",14.5%,"Beef, Duck  Game Bird, Lamb",Bordeaux Glass,6,Dry Wine,Full,5.0,3,1999.0
544,Acrobat Pinot Noir,United States,Acrobat,"Pinot Noir, Red Wine","Berry, Earthy, Cinnamon, Chocolate",13%,"Duck  Game Bird, Lamb",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.4,9,1998.0
545,Ravines Dry Riesling,United States,Ravines,"Riesling, White Wine",,12%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,2.5,2,1899.0
546,Old Soul Lodi Cabernet Sauvignon,United States,Old Soul,"Cabernet Sauvignon, Red Wine",,13.8%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,3,1299.0
547,Ghost Pines Cabernet Sauvignon,United States,Ghost Pines,"Cabernet Sauvignon, Red Wine",,14.2%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,8,1999.0
548,Twisted Pinot Grigio,United States,Twisted,"Pinot Grigio, White Wine",,12%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,699.0
549,Tortoise Creek Pinot Noir,United States,Tortoise Creek,"Pinot Noir, Red Wine","Balanced, Berry, Cassis, Cherry, Dried Fruit, Fruity, Red Fruit",13.6%,"Chicken, Duck  Game Bird, Fish - Meaty  Oily, Turkey",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,6,1299.0
550,Grayson Cellars Cabernet Sauvigon,United States,Grayson Cellars,"Cabernet Sauvignon, Red Wine","Fruity, Blueberry, Spicy, Earthy",13.9%,"Cured Meats, Cheese - Hard Aged",Bordeaux Glass,6,Dry Wine,Full,5.0,2,1099.0
551,Silver Palm Cabernet Sauvignon,United States,Silver Palm,"Cabernet Sauvignon, Red Wine","Anise, Cherry, Chocolate, Currant, Dark Fruit, Dry, Oak, Silky, Smooth, Tobacco",14.5%,"Beef, Cured Meats, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,7,1746.0
552,Melini Borghi d’Elsa Chianti,Italy,Melini,"Chianti Blend, Red Wine",,12%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,5.0,2,989.0
553,Tilia Malbec,Argentina,Tilia,"Malbec, Red Wine","Cherry, Dark Fruit, Floral, Vanilla",13.5%,"Duck  Game Bird, Fruit - Sweet",Standard Red Glass,6,Dry Wine,Full,5.0,42,1099.0
554,Cigar Box Reserve Hand Harvested Malbec,Argentina,Cigar Box,"Malbec, Red Wine","Dark Fruit, Floral, Vanilla, Rich",13.5%,"Fish - Meaty  Oily, Beef",Standard Red Glass,6,Dry Wine,Full,5.0,10,1199.0
555,Diamandes Perlita Malbec-Syrah,Argentina,DiamAndes,"Malbec, Red Wine","Dark Fruit, Berry, Vanilla, Anise",14.5%,"Lamb, Pasta",Standard Red Glass,6,Dry Wine,Full,5.0,4,1367.0
556,Loscano Grand Reserve Malbec,Argentina,Loscano,"Malbec, Red Wine",,14.6%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,5,1899.0
557,Loscano Private Reserve Malbec,Argentina,Loscano,"Malbec, Red Wine",,13.9%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,2,1399.0
558,Colome Estate Malbec,Argentina,Colome,"Malbec, Red Wine",,14.5%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,2,2599.0
559,Conquista Malbec,Argentina,Conquista,"Malbec, Red Wine",,12.5%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,3,899.0
560,Beringer Stone Cellars Cabernet Sauvignon,United States,Stone Cellars,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,1099.0
561,Markham Merlot,United States,Markham Vineyards,"Merlot, Red Wine","Balanced, Berry, Bold, Caramel, Cherry, Chocolate, Coffee, Creamy, Earthy, Fruity, Jammy, Mocha, Oak, Red Fruit, Rich, Round, Silky, Smooth, Spicy, Supple, Toasty, Vanilla, Velvety",14.6%,"Beef, Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Duck  Game Bird, Fish - Meaty  Oily, Lamb, Mushrooms, Pasta, Pork, Root Vegetables, Tomatoes, Turkey",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,2299.0
562,Chateau Diana Merlot,United States,Chateau Diana,"Merlot, Red Wine",,6%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,1.6,3,999.0
563,Chateau Diana Cabernet Sauvignon,United States,Chateau Diana,"Cabernet Sauvignon, Red Wine",,6%,"Duck  Game Bird, Beef",Bordeaux Glass,6,Sweet,Full,2.5,2,2999.0
564,AVA Grace Vineyards Pinot Grigio White Wine,United States,AVA Grace Vineyards,"Pinot Grigio, White Wine","Citrus, Crisp, Floral, Honey, Stone Fruit",13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,999.0
565,"AVA Grace Vineyards Sauvignon Blanc White Wine – 750ml, 2017 California",United States,AVA Grace Vineyards,"Sauvignon Blanc, White Wine","Bright, Citrus, Grapefruit, Melon, Tropical",13.5%,"Cheese - Fresh  Soft, Chicken, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,910.0
566,Washington Hills “Sweet” Riesling,United States,Washington Hills,"Riesling, White Wine",,9.5%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,2,999.0
567,Toad Hollow Chardonnay,United States,Toad Hollow,"Chardonnay, White Wine","Crisp, Melon, Stone Fruit",13.9%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1367.0
568,Santa Marina Pinot Grigio,Italy,Santa Marina,"Pinot Grigio, White Wine","Crisp, Fresh, Fruity, Light, Stone Fruit",12%,"Turkey, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,43,748.0
569,Bread & Butter Pinot Noir,United States,Bread  Butter,"Pinot Noir, Red Wine","Floral, Chocolate, Cherry, Pear",13.5%,"Beef, Chicken",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.8,206,1499.0
570,Bread & Butter Cabernet Sauvignon,United States,Bread  Butter,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.8,98,1499.0
571,Bread & Butter Chardonnay,United States,Bread  Butter,"Chardonnay, White Wine","Creamy, Vanilla, Nutty, Minerality",13.5%,"Pork, Fish - Meaty  Oily",Chardonnay Glass,4,Dry Wine,Full,5.0,93,1499.0
